position,score
6k1/1p2qppp/rQp1n3/1p1pP3/3P4/PP5P/1P4P1/1R3RK1 b - - 2 23,487
1r3r1k/R5Rp/8/3P4/1pP1p3/1P2N2P/4bPP1/6K1 w - - 1 35,732
3r2k1/pb3ppp/1p2pn2/3PN3/3P4/qP1B4/PQ3PPP/2r1R1K1 b - - 1 20,1312
6k1/3r2b1/4R2p/1p5Q/2p2P2/7P/1P4PK/8 w - - 1 40,834
8/8/8/7K/4k3/4B3/8/r7 b - - 11 88,566
8/7p/6p1/p1R5/P4Pk1/2p3P1/8/1Q4K1 b - - 7 51,-628
5k2/1p2qn1p/p4p2/5QpP/1P2B3/P5P1/5PK1/8 w - - 4 45,354
2kr2r1/Qp1n4/3Ppp2/Bp6/5P2/1P4p1/2P5/2KR4 w - - 0 32,573
3r4/8/5kNp/p4ppq/Ppp1p3/2n1P1P1/2Pr1P2/1QR2RK1 b - - 1 42,779
5B1k/p4p1p/1p6/5p2/3PpR2/4P1QP/P2q2PK/8 w - - 3 34,99999
3rr3/1k2bqpQ/1nn5/1Np5/5BP1/1P1P4/P4P1P/6K1 b - - 0 26,1194
3q1rk1/1p1P1p1p/p1p3pb/P4b2/1PP5/2Q2N1P/5BP1/2R1RB1K w - - 1 35,812
1rr1k3/7p/b3pq1P/p2p1p2/8/P4RP1/5P2/R2Q2K1 w - - 2 32,-288
r4rk1/ppqbppbp/3p2p1/Q7/2P1P1PP/1N2nK2/PP6/R4B1R b - - 1 16,593
8/2p1q1k1/1p1p2p1/p2Q2rp/8/1P6/2P5/1K4R1 b - - 8 48,703
4r1k1/BPb4p/4b1p1/1B6/P2NP3/6P1/1r5P/2R3K1 w - - 9 36,556
1k2r3/pp6/1b4q1/3Q4/1P6/7P/6P1/3R3K b - - 0 37,546
2r2rk1/p2b3p/2Np2qn/1P1p1pp1/4p3/P3PnPP/1B1Q1PK1/2RR1B2 b - - 4 27,476
5rk1/7p/3q2p1/3p4/P2b2P1/1Q3B1P/1P6/4K3 b - - 0 37,572
rnb1kbnr/pp2pppp/8/2pp4/6P1/4P2P/RPPP1PB1/1NBQK1NR w Kkq - 0 6,802
B7/5p1k/4p2p/6p1/P1Q4P/1P4P1/5PK1/8 w - - 0 40,747
8/2p1q1k1/1p1p2p1/p5rp/2Q5/1P6/2P5/1K4R1 b - - 8 48,925
2rq2k1/p2b2pp/Bp6/n2p4/Q2P2pb/P1N1P1N1/1P3r1P/1K1R3R b - - 0 21,679
r5k1/pp4pp/3B2B1/3p4/3P2br/b4R1P/3K4/4R3 b - - 1 26,352
r4k1Q/1p2qrb1/6R1/1p3p2/5P1P/2P5/PP4P1/5K2 b - - 1 27,893
4rbk1/pp1n2pb/2p1rp1p/1P1pP3/Q2P1B2/P1q3PP/5P2/R3RBK1 b - - 1 24,264
8/8/8/8/6K1/8/5p2/6k1 b - - 3 81,3610
1r3rk1/p3qppp/3p4/2pP4/1PP5/8/P3B1PP/Q4R1K b - - 0 24,531
5r1k/pN5p/5ppP/8/2QpP3/3P4/PPr2PqB/4K3 b - - 2 35,99998
3r1rk1/ppp3p1/B7/3P1p2/1n2N1b1/1Q2b3/PB3P2/R3K1R1 w Q - 0 23,879
4r1k1/5pbp/4p1p1/2Q1P1P1/1p1BpP2/1P2N1P1/r3q3/3R3K b - - 5 42,99999
5k1r/1bq2p2/2p1pn2/1p2bp2/5Q1p/1P1B2P1/2P2P1P/3NR1K1 b - - 1 27,920
3k4/5R2/1p3Q2/1Pr5/8/3P4/8/1K6 b - - 8 48,-596
r1b2rk1/pp2bppp/5n2/3pN2q/1P3B2/P3P1P1/5P1P/RQ1R1BK1 b - - 9 25,8
1r4k1/p2nrpp1/2p3p1/N3p3/1n6/1B1P3P/PPP2PP1/3RR1K1 w - - 3 20,275
8/8/8/3p1R2/2B3P1/4p3/7k/4K3 b - - 8 77,-426
r3r1k1/1bQ2pp1/1p3n2/p2q3p/1P1P1N2/P2BP3/5PPP/2R2RK1 w - - 0 23,569
r4rkb/1p3p2/n2p2p1/3PpbPp/p1P1q3/2Q1B2P/PP1NBP2/2K3RR w - - 11 27,487
r4rk1/ppn1p2p/2p3p1/6n1/2P5/1PN3bq/P1Q1BB2/3R1RK1 b - - 0 22,99999
8/5ppk/4p3/7K/6P1/7P/8/3qq3 b - - 3 49,1403
6k1/5p2/6p1/8/6b1/2B3P1/5K1P/8 w - - 3 39,1
2bqk2r/2p2p2/p3p1p1/2Q3Pp/1np5/2N5/PPP2PP1/R3K1NR w KQk - 3 16,552
8/6pk/1r5p/p2pp3/P3bP2/1Pq1P2P/1R3RPK/8 b - - 1 46,571
8/4k3/1p2P1Kp/p6P/P1B5/8/3b4/8 b - - 58 75,-2
2r3k1/2rn1p2/R1b1p1pp/2bpP3/3P3P/3B1NN1/1Q3PP1/R5K1 w - - 1 30,789
r1b1k2r/pp3pbp/6p1/3B4/5n2/1PP3P1/3K1P1P/R5NR b kq - 0 16,676
1r3r1k/ppqb1B1p/3b4/2p4Q/2Npp3/3P4/PPP3PP/R4R1K w - - 0 18,98
3b1r1k/pQ1p2pp/1p2pn1q/5p2/1PB5/P3P3/1BP2PPP/1R3RK1 w - - 1 21,587
6r1/7k/7P/p2prqQ1/Pp6/1B6/KPP5/5q2 b - - 1 46,1978
r1n2r1k/1pR3p1/p6p/1b1P1p2/7q/P1Q1PB2/1P1N1PPP/2R3K1 w - - 3 26,99999
r2q1rk1/1bNnbppp/3ppn2/p7/P2NP3/3B4/1P1BQPPP/2R2RK1 w - - 7 17,210
2r2bk1/6pp/p4p2/1p1P4/1Pp3RP/P3rNP1/5P2/3R2K1 b - - 0 37,374
8/6k1/6P1/4bp2/4r3/2Rp1K2/8/8 b - - 2 62,742
6k1/5p1p/1q3np1/8/3p3Q/4rP1P/6PK/3R4 b - - 3 37,610
2qr1rk1/pp3pbp/2n4B/8/2n5/2pB2QP/PP3PP1/R3R1K1 w - - 2 22,99999
