position,score
1r1r3k/6p1/1NR2pqp/8/3pP3/PP1P2PP/4QP1K/3R4 w - - 0 39,493
1r4k1/1RqB1pbp/p5p1/2p5/Q1P1p3/3P2P1/P2NPP1P/6K1 b - - 1 23,78
8/p3R3/5pk1/6p1/8/4PP1r/P3KP2/8 w - - 2 41,271
5r1k/pp5p/n2p2q1/2RPp1b1/1P6/P3Q1NP/1B3PK1/8 b - - 5 34,624
7r/3nk1p1/p3pqP1/1p1b1pB1/3P4/3Q4/PP1bBP2/R2K2R1 w - - 4 24,792
2b1k3/1p5P/2p2K2/2PpN3/3P4/8/8/8 w - - 1 63,99999
7r/3nk1p1/p3pqP1/1p3pB1/1b1P4/3Q1b2/PP2BP2/R2K2R1 w - - 4 24,747
1r3rk1/Q2n1ppp/q3p3/2P5/1p1P4/4PB2/6PP/1R3RK1 w - - 1 22,660
5bk1/1p6/p2Pr3/P1n1p1pp/2Q1N3/7P/6P1/2B3K1 w - - 0 36,651
r1b1k2q/pp4p1/3Qpb2/Bp6/4P3/8/PPP4P/2KR3R w q - 2 21,494
r7/1p3kpp/1R6/4b3/bN3B2/P1P4P/1P3PP1/6K1 w - - 1 27,599
2r5/3k1ppp/p2b1B2/N1p2b2/5N2/8/PP3PPP/3R2K1 w - - 1 22,495
3R1rk1/6pp/4bp2/4p3/4P3/4BP2/2r3PP/1R4K1 b - - 1 24,395
5B1k/p4p1p/1p6/5p2/3PpR2/4P1QP/P5PK/6q1 w - - 3 34,920
5k1r/1bq2p2/2p1pn2/1p2bp2/7p/1P1B1QP1/2P2P1P/3N1RK1 b - - 1 27,619
2n2rk1/p1pq2pb/1p5p/2pP4/2P1p1P1/5rNP/P3Q1K1/2B1RR2 b - - 1 25,300
4r2k/N4pp1/4p2p/3n4/2RP3b/P5BP/1P3PP1/6K1 w - - 1 28,554
rn3r1k/pp2N2p/2p5/3pb1BQ/1P6/3B4/4NPP1/q2R1K2 w - - 2 22,99999
8/1p3p2/2p2k2/p4n2/7p/2P2b2/P4P1K/8 b - - 1 46,744
1rr5/5k1p/b3p2P/p2p1p2/7q/P4RP1/5P2/R2Q2K1 w - - 2 32,380
R7/1p1b1rkp/2p1q1p1/1nN1P3/8/5N1P/1Q3PP1/6K1 w - - 7 29,545
8/p4r1k/2Q5/7p/1P1BpPq1/P3P1R1/7P/6K1 b - - 0 47,-239
1r3q1k/p7/1p1bb1pp/n2P3P/4B3/3QBP2/P4K2/R5R1 w - - 0 28,1755
4K3/4QN2/1p5p/p2P4/3k3P/8/1P6/8 w - - 0 77,761
1Q3bk1/4pN1p/6p1/1p1P4/4n3/5BPP/6K1/4q3 b - - 1 34,732
r3k3/3b1p2/p1npp1p1/q1p5/2P1PN2/1PpP1P2/P2Q1BP1/4K1N1 b q - 1 19,1034
1k1r3r/pbp1npp1/1p6/P2q1P2/2pN1Bp1/2Pn4/2B3PP/R3R1K1 w - - 0 21,-929
5k2/6R1/3p1P1N/2pP4/4r3/4rPK1/8/8 w - - 2 38,99999
5r2/p1b3k1/6pp/4r3/P1B5/4Q1Pq/1P3P2/3R2K1 b - - 3 31,879
4r3/PP4k1/6P1/4P2p/2p2Nb1/5pP1/1P3K2/4R3 w - - 1 58,902
4Qb2/3R1p2/2N3pk/1r5p/7P/6PK/8/8 w - - 1 51,99998
4r3/4P1p1/7p/1k1p3P/1PpP2P1/pr6/4R1K1/5R2 b - - 2 44,216
r3rbk1/p4ppp/1p6/2p5/2P5/3PBnPP/PPQ2P2/R2R1KNq b - - 6 20,462
5r1k/4N3/pn1PN1Pp/1pr1b3/6p1/P5P1/1P1R1P2/3R2K1 w - - 7 38,546
8/8/8/K1N5/6Q1/5b2/P3k3/8 b - - 8 67,-43
8/4bp2/4p1p1/1k1pP2p/1p1P1P1P/2rNK1P1/8/1R6 b - - 6 45,326
8/p7/5P2/5K2/1p6/PQB5/1P6/1k6 w - - 0 56,916
4q1k1/6n1/6p1/3P3p/2p2Q1P/4N1P1/4K3/8 w - - 0 55,91
6k1/7p/3p2p1/3P4/2q1r1P1/R7/p2Q4/K7 b - - 9 38,361
8/8/3q4/p5k1/PpPp2P1/1P1K4/4r3/8 w - - 2 67,-469
2b1r2k/1p3pp1/8/1PPp3P/3P1P2/r2B4/7K/2B5 b - - 1 34,1025
b5r1/4Qp1k/B1np2p1/3P3p/4P3/1P3N1P/P2R1PPK/2q5 w - - 1 34,1030
4r1k1/5pbp/2Q1p1p1/4P1P1/1p1BpP2/1P2N1P1/r3q3/3R3K b - - 5 42,99999
r4rk1/1q5p/pp3b2/3bp3/P7/2N5/1PP1Q1PP/3R1RK1 w - - 2 22,294
r4rk1/p1q3bn/6pp/2NPp2n/1P6/4B1PP/P4P2/R2QRBK1 w - - 3 23,510
1r6/8/R2p2k1/5bpp/3P4/8/4RKP1/8 w - - 8 60,506
5k1r/1bq2p2/2p1pn2/1p2bp2/6Qp/1P1B2P1/2P2P1P/3NR1K1 b - - 1 27,952
3R4/4r1kp/6p1/3n4/3p4/3B3P/2P2PPK/8 w - - 5 38,461
2R5/2R2p2/p4k2/P7/3KP2r/3P1P2/1P3P2/7q b - - 4 42,221
6k1/3n2pp/4pn2/3p4/pbN5/3P1BP1/5P1P/6K1 b - - 1 25,633
6rk/pR2RQpp/3r1P2/8/3P4/5qP1/P4PK1/8 w - - 1 33,775
8/p4r1k/2Q2B2/7p/1P2pPq1/4P1R1/P6P/6K1 b - - 5 47,-179
3b1k2/6p1/1P5p/4pp2/P7/4B1PP/5P2/6K1 w - - 1 34,467
5r2/1R3p2/1p3k1p/p4p1P/P1B2P2/b4K2/8/8 w - - 14 39,0
3q3k/6b1/p5QP/1p3nP1/5B2/8/P5B1/7K w - - 1 48,515
4k3/3n1p2/r1p1p2B/1PP1b3/P2N4/6PP/4RP2/6K1 w - - 1 41,563
1r6/PP4k1/6P1/4P2p/2p2Nb1/5pP1/1P3K2/4R3 w - - 1 58,1171
7r/p4kq1/1p1b1p2/2pp1p1r/P2PbPpN/2P1P1Q1/1P1B1R1R/6K1 b - - 0 31,431
3R4/kP5p/B7/2KPp1p1/4P1b1/1r6/6PP/8 w - - 7 46,99999
5r1k/pN5p/5ppP/5Q2/3pP3/3P4/PPr2PqB/4K3 b - - 2 35,99998
3r2k1/pb3ppp/1p2pn2/3PN3/3P4/qP1B4/P4PPP/2rQR1K1 b - - 1 20,638
6k1/R6p/3p2p1/3P2Q1/2q1r1P1/8/p7/K7 b - - 9 38,811
6k1/ppp3pp/3p4/3P4/4p3/P1B2r1b/1P1R3P/6K1 b - - 1 29,99999
5R2/5k1p/4N3/4pP2/3b4/6P1/p6r/4K3 b - - 1 41,394
4k3/1p2b1pp/p3qp2/2B5/1P2p3/P7/2Q2PPP/3R2K1 w - - 2 28,551
6k1/5p2/2p5/p2p4/3P4/7K/1B4p1/5q2 b - - 11 70,1709
7k/pp2Q3/3Pn3/4p2p/6q1/1BPP4/PP3R1P/7K w - - 2 35,1394
3r2k1/p1p3pp/2p5/1p2R3/6b1/2N5/PPK2PPP/8 b - - 1 21,62
3r1r1k/4q1pp/1pb5/p1n1pp2/P1B5/1PB1nP2/1K2QNPP/R2R4 b - - 1 23,372
3r4/5ppp/2R5/p2kp3/Br6/5PP1/6KP/8 b - - 0 37,590
r5k1/pb5p/1p2ppp1/8/5n2/4RqPQ/1B3P1P/2R3K1 b - - 7 36,99999
3krr2/1b2Rp1p/p2p1qp1/2pPQ3/1p6/5N2/5PP1/3R2K1 b - - 1 27,692
6k1/5p1p/1q3np1/6Q1/3p4/4rPPP/7K/3R4 b - - 0 37,1075
8/2R3pp/p6k/8/8/1KB4P/6r1/3r4 b - - 3 50,680
2krb1r1/pp3p1Q/4p2P/3p4/3n1P2/P3q2R/2P1N1P1/R3KB2 w Q - 3 19,733
3Qr1k1/1pq2pp1/2p4p/p1b1p3/2P1b3/PP4P1/1B2PP1P/3R2K1 b - - 1 22,752
3r2k1/5R2/p3r1p1/1p5p/7P/1Pq1Q3/P1B5/1K6 b - - 2 44,866
5r2/1Q4pk/2p1p3/2P1P2p/1P2bPpq/2B1P3/6R1/6K1 b - - 3 41,433
4qr1k/7p/p1p2p2/1pN2n2/1P1P1NpP/P1Q3P1/3n1PBK/4R3 w - - 5 32,742
2r4k/pp4bp/6p1/1Q1rp3/8/1KN3q1/PPP3P1/7R b - - 1 27,1220
rn1qk2r/pp3ppp/2p2n2/3pN3/3P1P2/2N3P1/PP3P1P/R2bKB1R b KQkq - 0 10,666
5rk1/Qb1pbppp/2n1pn2/1p4B1/3N4/6q1/PP2PPBP/2RR2K1 w - - 0 20,461
r1r3k1/5pb1/1np1P1p1/1p5p/nP2P3/PQ6/1B3PPP/3RRBK1 w - - 0 28,857
3r1b2/1k2qp2/p5p1/6P1/4P3/P5Bp/7P/5Q1K b - - 2 33,633
4k2r/5ppp/p2b1B2/N1p2b2/5N2/8/PP3PPP/3R2K1 w - - 1 22,442
8/8/p6p/2p3k1/Pn1p4/1P1P2B1/2P3P1/6K1 w - - 2 51,80
6k1/p4p2/2p3p1/3p2r1/3P4/8/8/1R1K4 b - - 1 33,706
7r/pp1kr1p1/2pbp3/2qb3P/5P1P/1BB3Q1/P7/3RK3 b - - 0 30,629
1rq4k/p5p1/1p1bb2p/n2P3P/4B3/3QBP2/P4K2/R5R1 w - - 1 28,385
2rq2k1/p2b2pp/Bp6/n2p4/Q2P2pb/2N1P1N1/PP3r1P/1K3R1R b - - 7 21,505
4r1k1/5pp1/3r3p/2Qp4/3P1N2/4R2P/P1P2PP1/4R1K1 w - - 1 25,1371
7b/6k1/3ppn2/2p1q1B1/6QP/1P3R1K/6P1/8 w - - 8 41,1092
r2qkb1r/pbp2ppp/1pn5/4P3/1P2P1n1/8/PBPN2PP/R2QKBNR b KQkq - 0 9,260
4k3/3n1pb1/r1p1p2B/1PP5/P2N4/6PP/4RP2/6K1 w - - 1 41,509
3k4/2p5/6q1/6P1/p7/P7/1P6/K1Q5 w - - 5 65,123
6r1/3nk3/p2pn1P1/3Bp3/1PP5/6K1/P7/2B2R2 b - - 2 39,-30
8/8/8/p5k1/PpPp2P1/1P1Kr3/7q/8 w - - 2 67,-715
rn3r1k/pp2N2p/2p5/4b1BQ/1P1p4/3B4/q3NPP1/3R1K2 w - - 0 22,99999
4rbk1/pp1n2pb/2p1rp1p/1P1pP3/3P1B2/P1q3PP/R4P2/3QRBK1 b - - 1 24,287
2q3k1/5pp1/5n2/7p/2rpn3/3N1P2/4Q1PP/rRB3K1 b - - 1 34,866
8/8/7p/Q4KP1/8/p7/k5P1/8 b - - 1 59,-428
1q1r1rk1/pp3pbp/1nn4B/8/8/2pB2QP/PP3PP1/R3R1K1 w - - 2 22,99999
rnbqk2r/1B2bppp/p2p1n2/5p2/8/2P3P1/PP3P1P/RNBQR1K1 b kq - 0 11,664
8/8/k7/bR6/r7/N6P/K7/8 b - - 5 56,-3
4k3/3n1p2/r1p1p2B/1PP5/P2N3b/6PP/4RP2/6K1 w - - 1 41,560
3r1rk1/p4ppp/1p6/7q/3RQ3/1PN1n1PP/PB3P2/2R3K1 w - - 1 25,562
4Qr1k/pN5p/5ppP/8/3pP3/3P4/PPr2PqB/4K3 b - - 2 35,99998
2r5/3k1pp1/3r4/2R1p3/2Q4N/6Pq/PP2PP1P/2K4R w - - 3 23,1340
1rR5/7p/5k2/p2Pp2P/4P3/Pr6/2K2P2/3N2R1 b - - 2 41,-396
r5k1/pp4pp/8/3p4/3P2br/B2B1R1P/3K4/4R3 b - - 0 26,357
6k1/1b3pp1/pB2p2p/3P4/Pp1b4/1P2RP2/3r2PP/5K2 b - - 1 35,553
r4rk1/ppn1p2p/2p3p1/6n1/2P5/2N3bq/PP2BB2/2QR1RK1 b - - 1 22,99999
r1nq1r1k/1pR3p1/p6p/3P1p2/2b5/P1Q1PB2/1P1N1PPP/2R3K1 w - - 3 26,99999
8/r7/4k1p1/6Pp/4K2P/8/8/8 b - - 1 65,628
2rqr1k1/p2bbp1p/p1P1p1p1/3pN3/P2PnB2/1P2Q1NP/5PP1/2R1R1K1 w - - 1 27,637
6k1/4rbpp/5p2/p7/P7/4B3/5K2/1r6 b - - 1 45,966
2kr2r1/1p1b1p1Q/p3p2P/3p4/3n1P2/P3q2R/2P1N1P1/R3KB2 w Q - 0 19,692
8/p1r3k1/7p/4r3/7P/P4Pp1/2pR2K1/2R5 b - - 2 50,67
6k1/1p2qppp/rQp1n3/1p1pP3/P2P4/1P5P/1P4P1/R4RK1 b - - 0 23,469
2b5/8/R2p2k1/6pp/3P4/8/1r2RKP1/8 w - - 8 60,641
3q4/5p1k/1p1P2p1/2p1Q2p/3nR3/7P/P4RP1/6K1 w - - 1 34,750
6RQ/5k2/8/5B2/5K2/8/1r6/8 w - - 1 66,99999
8/8/7p/5KP1/Q7/p7/k5P1/8 b - - 1 59,-432
7r/3Pqk2/2QRp2p/5Pp1/1P6/7P/1P4PK/8 w - - 1 43,720
8/4P3/pP6/P7/2PR2P1/2k1K3/8/8 w - - 1 75,1390
1r4k1/2qB1pbp/p5p1/1Rp5/Q1P1p3/3P2P1/P2NPP1P/6K1 b - - 1 23,124
5rk1/6pp/4b3/3PPp2/1q1R1P2/6P1/1P4BP/6K1 b - - 1 42,680
8/2n3k1/6P1/8/K3N3/P7/8/8 b - - 2 67,-21
4r1k1/1pqQ1pp1/2p4p/p1b1p3/2P1b3/PP4P1/1B2PP1P/3R2K1 b - - 1 22,487
r5k1/2R3p1/6p1/3p3p/3P4/p6P/n4PP1/6K1 b - - 1 32,525
3krr2/1b2Rp1p/p2p1qp1/2pP4/1p6/3R1N2/4QPP1/6K1 b - - 1 27,679
4kn1r/3r1p2/p3pQ2/1pq4B/8/8/PP3PPP/3RR1K1 w k - 5 29,646
3r2k1/2q2pp1/p1nNp2p/8/P4Q2/3n1NP1/1P3PP1/2R3K1 b - - 9 28,565
7k/5R2/6pb/4p3/B7/r5P1/3p1P2/6K1 b - - 6 48,447
3r4/1Q2n3/4Bkp1/P5R1/2p2P2/2P3P1/1P1pq3/6K1 b - - 3 44,99999
4rrk1/pp3qp1/2p5/4P2p/4Q2P/1P3PP1/PB1R2K1/5R2 w - - 1 27,548
8/5rB1/p2Kp1k1/4P2p/P6P/8/8/7b w - - 1 66,-508
r2qn2k/pp4p1/3p1r1p/1P2Np2/8/BQ1P2P1/4PP1P/R4RK1 w - - 1 24,576
8/2N5/p1BP3p/PpP1k3/8/8/5K2/8 w - b6 0 62,502
6k1/3n2pp/4pn2/3pN3/pb5P/3P1BP1/5P2/6K1 b - - 0 25,513
8/5k2/2R5/3Nbpr1/8/8/6K1/8 w - - 2 75,-16
8/3B1pk1/3p2pp/1P1P4/3b3P/1r4P1/5PK1/8 b - - 1 38,509
7r/pp1kr1p1/2pbp3/2qb3P/6QP/1BB5/P4P2/3RK3 b - - 9 30,1102
8/p4k1p/1pn2p2/5N2/r2B4/6P1/P4P1P/5K2 b - - 4 31,532
8/4Q2n/p2N2pk/4q3/7p/P6P/6P1/7K w - - 0 43,551
5k1r/1bq2p2/2p1pn2/1p2bp2/7P/1P1B1Q2/2P2P1P/3NR1K1 b - - 0 27,652
8/5p1p/5Ppk/3pP3/7P/6QK/1q6/2q5 b - - 3 48,955
4r3/4P1p1/7p/1k1p3P/1PpP2P1/pr6/4R3/R4K2 b - - 2 44,251
4r2k/6b1/7p/B7/6n1/2P2qPp/2Q2P2/5RK1 b - - 7 40,99999
2r2bk1/6pp/p4p2/1p1P4/1PpR2qP/P3rNP1/5PK1/3R4 b - - 1 37,1358
rn1qk2r/pp3ppp/2p2n2/3pN3/2BP1P2/2N5/PP3PPP/R2bK2R b KQkq - 1 10,717
r1b1r1k1/1p1n1p1p/p2p2p1/2pP3n/P4PP1/2P4P/3Nq2B/R2Q1R1K b - - 0 18,324
8/3rk3/4p2p/p3P3/5R2/5N1P/6PK/8 w - - 1 55,473
2r3k1/5pbp/1np1P1p1/rp6/nP2P3/PQ6/1B3PPP/3RRBK1 w - - 1 28,1089
2R5/6pk/6Np/7P/3n2B1/6pK/5r2/8 w - - 4 40,99999
6r1/1P3pkp/P2p2p1/8/8/2q1p1P1/1Q3P1P/1R4K1 w - - 2 30,792
6rk/6bp/3QR3/5p1q/2PBp3/2P3P1/1P3P1K/8 w - - 5 46,200
8/8/6K1/8/6n1/4k3/8/8 b - - 1 72,-52
r4rk1/1p4pp/2p5/pNPp4/PP1q4/5P2/R4P1P/1R4K1 b - - 1 23,613
r4rk1/pppb1pbp/4p1p1/4q3/2B1N1P1/5P2/4Q2P/4R1K1 b - - 0 26,743
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,1
3r2k1/p4pp1/2b2n2/2P2q1p/1Q1B4/4P2N/5P2/3BK1R1 w - - 0 31,288
2rq1rk1/Bn4pp/p4p2/1P1Pp3/8/1P4PP/4NPB1/2R1b1K1 b - - 1 22,724
3k4/5R2/1p6/1PQ5/8/3P4/8/1K6 b - - 0 48,-742
2r4k/pp4bp/6p1/3rp3/8/1KN3q1/PPP1Q1P1/2R5 b - - 1 27,567
r4qk1/1b3p2/6r1/pnBp2R1/1n6/1Q4P1/P6P/R5K1 b - - 4 30,1112
2bK4/2P3pk/8/8/8/7p/8/8 w - - 2 74,-40
8/8/p3kp2/1pP3p1/1P1B1b1p/Pb3P1P/2N3P1/4K3 w - - 19 44,11
3r2r1/pk2bp2/4p3/2p1P1R1/3n3p/N4p2/PP1B1P1P/R3K3 b Q - 1 27,636
8/5pkp/1n2p3/2p1Pn2/2P5/6P1/3Q4/1q3NK1 b - - 9 40,433
5rk1/7p/3q2p1/3Q4/P2b4/5B1P/1P4P1/4K3 b - - 0 37,537
5k2/p6p/R5b1/6P1/1p1r2B1/1Pn2P2/P1P4P/2K5 b - - 2 37,342
r4k2/p6R/5Np1/1pp1pn2/5b2/P6P/1PP2P2/3R3K w - - 0 28,487
r1bR4/ppp2k1p/5rpQ/4q3/2P5/2P5/P1P3PP/4R1K1 b - - 3 21,99999
2rq1rk1/5ppb/4pn1p/3pN3/1b2N3/3pP1P1/2P2PBP/R1Q1R1K1 b - - 1 23,621
2r5/2rnbpk1/R1b1p1pp/3pP3/3P3P/3B1NN1/1Q3PP1/R5K1 w - - 1 30,789
2q4k/p4rpp/8/2n5/1pQ2PP1/8/7P/1KR2R2 w - - 4 39,404
rn1r2k1/pp2bppp/4B3/2p5/4P3/2P2N2/q3QPPP/1RB2RK1 w - - 0 15,979
1r4qk/p5p1/1p1bb2p/n2P3P/4B3/3QBP2/P4K2/R5R1 w - - 1 28,415
r4rk1/pq4b1/5npp/2NPp2n/1P6/4B1PP/P4P2/R2QRBK1 w - - 3 23,920
r2r4/ppp3k1/3p2np/2P1p1p1/4P3/P1N2PPb/1P1R2P1/2KB4 b - - 1 23,443
3r2k1/pb3ppp/1p2pnN1/3P4/3P4/qP1B4/P3QPPP/2r1R1K1 b - - 1 20,501
2q3k1/5pp1/5n2/7p/2rpn1P1/3N1P2/3BQ2P/rR4K1 b - - 0 34,1057
8/4P2p/6p1/5p2/P4P2/1kb3PK/2q4P/8 w - - 5 59,-292
8/8/8/4rk2/4b3/8/7K/4R3 w - - 41 68,-7
2k5/2P5/3r1p2/1r4pp/N7/5P2/3R1KPB/8 w - - 2 52,459
5r2/5p2/p5k1/8/2P2Qb1/7r/1P3P2/2KR4 w - - 0 32,686
6k1/4bpp1/p3n2p/8/1P2PB2/3q3P/5PP1/Q5K1 b - - 1 26,581
rn4k1/pp2bppp/3rB3/q1p5/4P3/2P2N2/P3QPPP/1RB2RK1 w - - 1 15,612
3r2k1/6p1/p6p/1p3p2/5n2/5P2/5P1P/B1RrR1K1 w - - 0 39,404
Q2R4/5pbk/1q2r1pp/8/p3p3/P4PP1/1n3N1P/6K1 b - - 1 41,500
2r3k1/1p3p2/5R1p/p3B1pq/P2Pp1P1/R3P2P/6r1/5QK1 w - - 1 32,651
B6k/5pp1/4p2p/8/P1Q4P/1P4P1/5PK1/8 w - - 1 40,756
2r3k1/8/1B2b2p/pp1P1pp1/1P6/PQ1p4/2r1N1PP/4R1K1 w - - 0 28,615
r4qk1/Bb3p2/6r1/pn1p2R1/1n6/1Q4P1/P6P/R5K1 b - - 4 30,843
5r2/1R3p2/1p1b1k1p/p4p1P/P1B2P2/5K2/8/8 w - - 14 39,10
r4rk1/3q3p/pp6/3bp3/P6b/2N5/1PP1Q1PP/3R1RK1 w - - 2 22,169
2k1r2r/p1b4q/P3p3/1p1p4/1PpN1n2/2P3N1/4Q3/R4RK1 b - - 1 34,902
r4rk1/2p3pp/pp1b4/3P1n2/2P2P1q/P2QB3/7N/R4R1K b - - 0 23,485
2r5/4kpp1/3r4/2R1p3/2Q3qN/6P1/PP2PP1P/2K4R w - - 3 23,838
2r3k1/5p2/1B5p/pp1b2p1/1P6/PQ1p4/2r1N1PP/4R1K1 w - - 0 28,478
2r3k1/3n1pbp/p1p1p3/6p1/NBn5/6PP/1P2PPB1/1RR3K1 w - - 0 24,647
8/1K3p2/8/3N1p2/3P2k1/7p/7P/8 b - - 2 69,-157
8/3K4/8/5kp1/1p2b3/8/8/8 b - - 1 83,678
4r3/4P1p1/7p/1k1p3P/1PpP2P1/pr6/3R2K1/R7 b - - 2 44,509
4Rrk1/7r/3p2p1/p1p1R3/P1P5/4P2q/7P/5NK1 b - - 3 38,99999
4r1k1/2Q2pbp/4p1p1/4P1P1/1p1BpP2/1P2N1P1/r3q3/3R2K1 b - - 5 42,437
5r1k/3nN3/p2PN1Pp/1p2b3/6p1/P1r3P1/1P1R1P2/3R2K1 w - - 7 38,560
6rk/6bp/3QR3/5p2/2PBp3/2P2qP1/1P3P1K/8 w - - 5 46,250
8/R4pk1/4p3/3pP1p1/3n2P1/2rB3P/5K2/8 b - - 7 32,407
3krr2/1b2Rp1p/p2p1qp1/1QpP4/1p6/5N2/5PP1/3R2K1 b - - 1 27,578
8/6kp/pp1qp3/4bp1Q/2P1n3/1PB3PP/P5K1/8 b - - 3 38,530
r1bqk1nr/pppp1ppp/2n5/8/2PP4/2P1Pp2/P1Q2PPP/R1B1KB1R b KQkq - 1 7,363
r3k3/pp1b2p1/3Qpb2/Bp6/4P2q/8/PPP4P/2KR3R w q - 2 21,680
r4rk1/1bNnbpp1/p7/1p5Q/5P2/2n5/PPPB2PP/4RR1K w - - 1 19,747
2brk1nr/4bpBp/p1p5/1p6/4P3/2N3P1/PPP2PBP/R4RK1 w k - 1 16,546
5r2/p1b3k1/6pp/4r2Q/P1B5/6Pq/1P3P2/3R2K1 b - - 3 31,1353
r2r4/pp3pk1/1n4p1/2n4p/4PP1P/q2BQ3/3KN3/3R2R1 b - - 2 28,1319
rn3r1k/pp2N2p/2p5/3pb1BQ/qP6/3B4/4NPP1/3R1K2 w - - 2 22,99999
6k1/1b3pp1/pB1Pp2p/8/Pp1b4/1P3P2/3r2PP/4RK2 b - - 0 35,542
1k4r1/p3b1p1/1nQrP2p/q2p3P/PppP1B2/2P2N1R/1P3PP1/R3K3 w Q - 3 24,788
3krr2/1b3p1p/p2p1qp1/2pPR3/1p6/5N2/4QPP1/3R2K1 b - - 1 27,551
4n3/5pp1/1P5p/P1kp4/8/3B1P2/6PP/6K1 w - - 1 49,392
k7/1p4Pb/3r4/p7/2Pq2P1/bP1B3P/P1Q5/1K1RB3 w - - 0 42,310
8/7p/6pk/1NR1q3/1P2pr2/4Q3/5PP1/6K1 w - - 3 41,815
6k1/1p6/p7/2K5/8/8/6p1/3b4 w - - 2 56,-3902
6k1/pb1nrppp/1p1Q4/6N1/2B1n3/1P5P/P4PPK/8 w - - 9 26,462
r1b4r/B3k1pp/1p3p2/bBn1p3/3R4/P1P2N2/5PPP/4K2R b K - 3 20,538
1kbr3r/p1p1npp1/1p6/P2q1P1p/2pN1BQ1/2Pn4/2B3PP/R3R1K1 w - - 2 21,123
5k2/6p1/5r2/3R4/1P6/5BpP/5bP1/7K b - - 0 55,16
5k2/1p3ppp/n7/r1P1p3/1pK1P3/5P2/2B3PP/1R6 b - - 4 36,356
4Q3/1p3p1k/6pp/1P6/5P2/3b4/5P1P/3rN1K1 w - - 0 39,348
6k1/5qn1/6p1/2pP3p/5Q1P/4N1P1/4K3/8 w - - 13 55,28
6k1/1Q2b3/R7/4p2p/7P/8/K7/8 w - - 16 68,697
1r3q1k/p5p1/1p2b2p/n2P3P/4Bb2/3QBP2/P4K2/R5R1 w - - 1 28,317
r5k1/pb5p/1p2ppp1/8/5n2/5qPQ/1BR2P1P/4R1K1 b - - 7 36,99999
4r1k1/1p1P1p1p/p1p3pb/P4bq1/1PP5/2Q2N1P/5BP1/2R1RB1K w - - 1 35,3022
5rk1/p4p1p/6p1/1p3qP1/3Q1nbP/3R4/PP3P2/K6R b - - 1 26,573
1r1r2k1/p4ppp/2N1pn2/1Bqn4/P2P4/5NP1/4QP1P/2RR2K1 w - - 13 24,989
r1bqk1nr/pppp1ppp/2n5/8/2PP4/2P1Pp2/P4PPP/R1BQKBR1 b Qkq - 1 7,270
8/8/5pk1/R7/5KP1/p6P/r7/8 b - - 0 50,0
8/7k/8/8/4RK2/8/8/8 w - - 33 82,550
1r5k/p5p1/1p1bb2p/n2P1q1P/4B3/3QBP2/P4K2/R5R1 w - - 1 28,815
6k1/2r4p/ppNB1p2/3P2p1/2n5/2P2P1P/P4PK1/2R5 w - - 1 34,770
1r3r1k/ppq2B1p/3b4/1bp1p2Q/2Np4/3P4/PPP3PP/R4R1K w - - 1 18,173
r1nq1r1k/2R3p1/pp5p/1b1P1p2/8/P1Q1PB2/1P1N1PPP/2R3K1 w - - 0 26,99999
r1r3k1/5p1p/1np1P1p1/1p6/nP2P3/PQb5/1B3PPP/3RRBK1 w - - 1 28,902
5k2/1p2b1p1/p3qp1p/2B5/1P2p3/P7/2Q2PPP/3R2K1 w - - 0 28,663
8/8/p1k5/1p3N2/1r6/P1P5/1PK1R3/8 w - - 11 72,660
1qr2rk1/1b2bppp/p3pn2/1p2nN2/1P6/P1N3P1/1B2QP1P/1BRR2K1 b - - 1 21,342
2r3k1/5p2/1B2b2p/pp1P2p1/1P6/PQ6/2r1p1PP/4R1K1 w - - 0 28,333
3b4/5r1k/3ppn1p/2p1p1pq/4P2N/2PP2PP/1PQ2PKN/5R2 b - - 1 45,320
3r2k1/p5p1/2p4p/1pP1p3/7R/4PpP1/PBq1nP1P/5Q1K b - - 1 39,586
3Qr1k1/ppp4p/6p1/2p5/2P2R2/P7/5KP1/q7 w - - 2 32,739
1R6/4rk2/6p1/7p/8/6PP/1q3P1K/8 b - - 1 51,619
2q3k1/5pp1/5n2/7p/1Nrpn3/5P2/3BQ1PP/rR4K1 b - - 1 34,1567
8/1n6/8/8/3k4/PP6/1KP5/2N5 w - - 5 50,451
8/8/5k2/5p2/1rp4p/6bP/1R4P1/3R2K1 b - - 1 61,480
3kr3/p2b1pp1/8/5B2/5bp1/1P2n3/P2K2PP/1R5R b - - 1 25,789
8/8/4nk1p/3p3P/8/5p1K/2P3r1/1R6 b - - 5 54,533
8/5ppk/6Rp/3K4/1N1P4/8/5PPr/8 b - - 1 56,258
rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq - 1 1,-5
5rk1/pp2r1p1/2p1q3/4P2p/4Q2P/1P3PP1/PB1R2K1/5R2 w - - 1 27,581
r3k2r/p2n1ppp/Rqb1pn2/1B4B1/1b1PP3/1QN2N2/5PPP/5RK1 w kq - 5 14,775
8/6k1/8/6p1/1K1PpP2/8/8/8 w - - 0 74,117
2kr4/pp1b1p1Q/4p2P/3p4/3n1Pr1/P3q2R/2P1N1P1/R3KB2 w Q - 3 19,720
